Ingrediente Lista 1,Ingrediente Lista 2,Indice di Fuzzy
cipolla affettata,pancetta affettata,55
cipolla affettata,pollo,66
cipolla rossa,arancia rossa,55
cipolla rossa,cipolla,100
cipolla rossa,cipolla bianca grossa,61
cipolla rossa,cipolla biancoa,57
cipolla rossa,cipolla bionda,59
cipolla rossa,cipolla di tropea,58
cipolla rossa,cipolla dorata,59
cipolla rossa,cipolla grossa,77
cipolla rossa,cipolla novella,57
cipolla rossa,cipolla o scalogno,57
cipolla rossa,cipolla piccola,57
cipolla rossa,cipolla ramata,59
cipolla rossa,cipolla rossa,100
cipolla rossa,cipolla rossa di tropea piccola,89
cipolla rossa,cipolla tritata,57
cipolla rossa,cipolle,90
cipolla rossa,cipolle rossa,74
cipolla rossa,cipolle rossa grande,58
cipolla rossa,cipolle rossa piccole,57
cipolla rossa,cipolle rosse,68
cipolla rossa,cipollotto rosso,61
cipolla rossa,pollo,86
cipolla rossa affettata,cipolla,77
cipolla rossa affettata,cipolla grossa,56
cipolla rossa affettata,cipolla ramata,56
cipolla rossa affettata,cipolle,77
cipolla rossa affettata,cipolle rossa grande,56
cipolla rossa affettata,pollo,66
cipolla spicchi,aglio spicchio,55
cipolla spicchi,arancia a spicchi,55
cipolla spicchi,cipolla,94
cipolla spicchi,cipolla bianca,55
cipolla spicchi,cipolla piccola,64
cipolla spicchi,cipolla rossa piccola,58
cipolla spicchi,cipolle,85
cipolla spicchi,pollo,70
cipolla tritata,carota tritata,61
cipolla tritata,carote tritata,55
cipolla tritata,cipolla,94
cipolla tritata,cipolla bianca,61
cipolla tritata,cipolla biancoa,58
cipolla tritata,cipolla bionda,55
cipolla tritata,cipolla di tropea,55
cipolla tritata,cipolla disidratata,61
cipolla tritata,cipolla dorata,66
cipolla tritata,cipolla grossa,55
cipolla tritata,cipolla ramata,66
cipolla tritata,cipolla rossa,57
cipolla tritata,cipolla tritata,100
cipolla tritata,cipolle,85
cipolla tritata,cipolle dorata,61
cipolla tritata,cipolle tritata,74
cipolla tritata,cipolle tritata fine,64
cipolla tritata,erba cipollina tritato,61
cipolla tritata,nocciola tritate,62
cipolla tritata,pollo,70
cipolla tritata,salvia tritata,55
ciuffi di calamari surgelati,calamaro,69
ciuffi di calamari surgelati,gelato,59
coda di rospo congelata,gelato,64
code di gambero argentino cotte,gambero,67
code di gambero argentino cotte,gambero argentini,97
code gambero argentino,gambero,78
code gambero argentino battute a coltello,gambero,59
code gambero argentino battute a coltello,gambero argentini,85
code gambero argentino decongelate,gambero,64
code gambero argentino decongelate,gambero argentini,93
code gambero argentino decongelate,gelato,55
colomba nocciole e cioccolato,cioccolato,81
colomba nocciole e cioccolato,colomba,69
colomba nocciole e cioccolato,crema di nocciole con cioccolato fondente,55
colomba nocciole e cioccolato,nocciola,73
colomba pere e cioccolato,cioccolato,87
colomba pere e cioccolato,colomba,74
confettura extra albicocche 65% frutta,albicocca,68
confettura extra albicocche 65% frutta,confetti,65
confettura extra albicocche 65% frutta,confettura,72
confettura extra albicocche 65% frutta,confettura albicocche,57
confettura extra albicocche 65% frutta,confettura di albicocca,55
confettura extra albicocche 65% frutta,confettura di albicocche,57
confettura extra albicocche 65% frutta,frutta,57
confettura extra fragole 65% frutta,confetti,63
confettura extra fragole 65% frutta,confettura,74
confettura extra fragole 65% frutta,fragola,63
confettura extra fragole 65% frutta,fragole,63
confettura extra fragole 65% frutta,frutta,59
confettura extra mirtilli 65% frutta,confetti,66
confettura extra mirtilli 65% frutta,confettura,73
confettura extra mirtilli 65% frutta,confettura di mirtilli,55
confettura extra mirtilli 65% frutta,confettura di mirtilli rossi,55
confettura extra mirtilli 65% frutta,frutta,59
confettura extra mirtilli 65% frutta,mirtillo,62
confettura extra pesche 65% frutta,confetti,63
confettura extra pesche 65% frutta,confettura,75
confettura extra pesche 65% frutta,frutta,60
confettura extra pesche 65% frutta,pesca,56
coscia di pollo aperta (350-400 gr circa),pollo,66
coscia di pollo aperta (350-400 gr circa),pollo (petti),71
coscia di pollo disossata (150-200gr),pollo,62
coscia di pollo disossata (150-200gr),pollo (petti),68
cosciotto di agnello cotto a bassa temperatura,agnello,56
cosciotto di agnello fresco disossato,agnello,62
coste surgelate,edamame surgelate,55
coste surgelate,gelato,78
coste surgelate,piselli surgelati,55
cotechino,cotechino precotto,97
cotechino,crostino,57
cotechino cotto,ceci cotti,58
cotechino cotto,cotechino precotto,73
cotechino cotto,tacchino petto,55
cous cous di cavolfiore,cavolfiore,91
cous cous di cavolfiore,cavoli,71
cous cous di cavolfiore,cavolo,71
couscous,couscous,100
couscous,couscous precotto,94
crema di latte,crema di nocciole,57
crema di latte,latte,83
crema di parmigiano,parmigiano,99
crema di pomodori fresca,pomodori,80
crema di pomodori fresca,"pomodori (polpa, opzionale)",85
crema di pomodori fresca,pomodoro,74
crespella,frisella,57
crocchette di patate,gnocchi di patate,61
crocchette di patate,patata,68
crocchette di patate,patate,76
crostini all'olio di oliva,crostino,77
crostini all'olio di oliva,olio di oliva,97
crostini all'olio di oliva,oliva,62
crostini all'olio di oliva,olive,56
cubetti di caciocavallo dop silano,caciocavallo,82
cubetti di cuore di merluzzo nordico,merluzzo,66
cubetti di pesce spada,pesca,67
cubetti di pesce spada,"pesce (calamari, gamberi, vongole, salmone)",73
cubetti di pesce spada,pesce spada,97
cubetti di pesce spada decongelato,gelato,60
cubetti di pesce spada decongelato,pesca,56
cubetti di pesce spada decongelato,"pesce (calamari, gamberi, vongole, salmone)",60
cubetti di pesce spada decongelato,pesce spada,79
cubetti di pesce spada per spiedini,pesca,55
cubetti di pesce spada per spiedini,"pesce (calamari, gamberi, vongole, salmone)",59
cubetti di pesce spada per spiedini,pesce spada,78
cubetti di tonno per spiedini,tonno,59
cumino macinato,carne macinata,55
cumino macinato,carne macinato,61
cumino macinato,cumino semi,55
cumino macinato,manzo macinato,66
cumino macinato,pollo macinato,55
cumino macinato,tacchino macinato,65
cumino macinato,vitello macinato,57
cumino semi,chia semi,56
cumino semi,coriandolo semi,55
cumino semi,cumino in semi,70
cumino semi,cumino nero in semi,58
cumino semi,cumino semi,100
cuore di merluzzo nordico,merluzzo,78
cuore di scamone alle erbe aromatiche,erbe aromatiche,88
cuore di scamone con granella di pistacchi e mandorle,mandorle,56
cuore di scamone con granella di pistacchi e mandorle,pistacchi,59
cuore di scamone con granella di pistacchi e mandorle,pistacchi (granella),62
cuore di scamone con granella di pistacchi e mandorle,pistacchi (ridotti a farina),62
cuore di scamone con granella di pistacchi e mandorle,pistacchio,62
cuori di borragine,borragine,97
cuori di borragine,fiori di borraggine,69
curcuma macinata,carne macinata,58
curry madras,curry,89
curry madras,curry rosso,56
dado vegetale allo zafferano fatto da noi,dado vegetale,78
dado vegetale allo zafferano fatto da noi,zafferano,66
dado vegetale fatto da noi,dado vegetale,97
dado vegetale fatto da noi,dado vegetale bio,56
dadolata di verdure per zucchine,zucchina,65
dadolata di verdure per zucchine,zucchine,70
decorazioni in zucchero,zucca,59
decorazioni in zucchero,zucchero,82
dischetti cioccolato bianco,cioccolato,84
dischetti cioccolato bianco,"cioccolato bianco, in gocce",93
dischetti cioccolato fondente extra,cioccolato,74
dischetti cioccolato fondente extra,cioccolato fondente,100
dischetti cioccolato fondente extra,cioccolato fondente 70%,55
dischetti cioccolato fondente extra,cioccolato fondente al 55%,55
dischetti cioccolato fondente extra,cioccolato fondente al 60%,55
dischetti cioccolato fondente extra,cioccolato fondente al 70%,55
dischetti cioccolato fondente extra,cioccolato fondente spezzettato,56
dischetti di semolino,semola,67
dischetti di semolino,semolino,85
ditalini rigati,ditalini,100
ditalini rigati per pastina in brodo,ditalini,66
emmenthal bavarese,emmenthal,97
emmenthal bavarese,emmenthal a fette,59
emmenthal bavarese,emmenthal a scaglie,56
emmenthal bavarese,menta,73
emmenthal bavarese cubettato,emmenthal,79
emmenthal bavarese cubettato,emmenthal a cubetti,62
emmenthal bavarese cubettato,menta,60
erba cipollina,cipolla,97
erba cipollina,cipolle,87
erba cipollina,cipolline,100
erba cipollina,erba cipollina,100
erba cipollina,erba cipollina per decorare,98
erba cipollina,pera william,55
erba cipollina,pollo,72
erbe aromatiche,erbe aromatiche,100
erbe aromatiche,"erbe aromatiche miste a piacere (timo, salvia, alloro, rosmarino, maggiorana)",94
erbe aromatiche,erbe aromatiche miste secche,100
fagioli borlotti bio,fagiolini borlotti,67
fagioli borlotti bio,fagiolo borlotti,66
fagioli borlotti bio,fagiolo borlotti già ammollati,58
fagioli borlotti bio,fagiolo borlotti già lessi,59
fagioli borlotti bio,fagiolo borlotti secchi,63
fagioli borlotti bio cotti,fagiolini borlotti,58
fagioli borlotti bio cotti,fagiolo borlotti,57
fagioli borlotti bio cotti,fagiolo borlotti già ammollati,57
fagioli borlotti bio cotti,fagiolo borlotti già lessi,58
fagioli borlotti bio cotti,fagiolo borlotti secchi,55
fagioli cannellini bio,cannella,77
fagioli cannellini bio,fagiolini cannellini già lessi,62
fagioli cannellini bio,fagiolo cannellini,68
fagioli cannellini bio,fagiolo cannellini già lessi,61
fagioli cannellini bio,fagiolo cannellini secchi,65
fagioli cannellini bio,fagiolo cannellino già lessato,58
fagioli cannellini bio cotti,cannella,69
fagioli cannellini bio cotti,fagiolini borlotti,56
fagioli cannellini bio cotti,fagiolini cannellini già lessi,61
fagioli cannellini bio cotti,fagiolo cannellini,59
fagioli cannellini bio cotti,fagiolo cannellini già lessi,60
fagioli cannellini bio cotti,fagiolo cannellini secchi,58
fagioli di spagna,fagiolo bianchi di spagna,65
fagioli di spagna,fiori di salvia,55
fagioli di spagna,pan di spagna,58
fagiolini cotti,fagiolini borlotti,68
fagiolini cotti,fagiolini lessati,60
fagiolini cotti,fagiolini verdi,58
fagiolini cotti,fagiolo borlotti,57
fagiolini cotti,fagiolo neri precotti,62
fagiolini surgelati,fagiolini borlotti,61
fagiolini surgelati,fagiolini lessati,62
fagiolini surgelati,fagiolini verdi,57
fagiolini surgelati,funghi misti surgelati,58
fagiolini surgelati,gelato,70
fagiolini surgelati,piselli surgelati,58
farfalle,pasta tipo farfalle,89
farina 00,farina 00,100
farina 00,farina 00 autolievitante,85
farina 00,farina 450,67
farina 00,farina bianca 00,58
farina 00,farina debole 00,58
farina 00,farina oo,62
farina 00,farina tipo 0,58
farina 00,farina w 170,61
farina 00,farina w 350,61
farina 00,farina w170,64
farina di ceci,farina,90
farina di ceci,farina 0,94
farina di ceci,farina 1,94
farina di ceci,farina da pane,57
farina di ceci,farina di avena,61
farina di ceci,farina di banane,58
farina di ceci,farina di castagne,60
farina di ceci,farina di ceci,100
farina di ceci,farina di cocco,66
farina di ceci,farina di farro,55
farina di ceci,farina di mais,63
farina di ceci,farina di mandorle,55
farina di ceci,farina di manioca,57
farina di ceci,farina di nocciole,65
farina di ceci,farina di pistacchi,63
farina di ceci,farina di riso,63
farina di ceci,farina di segale,58
farina di ceci,farina di semola,58
farina di ceci,farina di soia,63
farina di ceci,farina di soia (facoltativo),61
farina di grano tenero 00,farina,69
farina di grano tenero 00,farina 0,78
farina di grano tenero 00,farina 1,72
farina di grano tenero 00,farina di grano duro,64
farina di grano tenero 00,farina di grano saraceno,62
farina di grano tenero 00,farina di grano saraceno bianca,57
farina di grano tenero 00,farina di grano tenero di tipo 1 (320 w),63
farina di grano tenero 00,farina integrale di grano tenero,62
farina di grano tenero 00,farina mix manitoba e 00,55
farina di grano tenero 00,farina semola di grano duro,55
farro perlato,farro,86
farro perlato,farro decorticato,58
farro perlato,farro pelato,77
farro perlato,farro perlato,100
farro perlato,orzo perlato,64
farro perlato cotto,farro,72
farro perlato cotto,farro pelato,62
