Nome,Quantita,Unità di misura
Pistacchi tritati grossolanamente,0,g
Tahina,0,Cucchiaino
Cannella in polvere,0,Cucchiaino
Würstel,0,Unità
Bicarbonato,0,Unità
Brie,0,g
Melagrana matura,0,Unità
Frutta secca a piacere,0,Unità
Melagrana il succo,0,Unità
Formaggio di capra semi stagionato,0,Fette
Miele di castagno,0,Cucchiaino
Timo limonato,0,Unità
Melograne,0,g
Gelatina in fogli,0,g
Pane da tramezzini bianco,0,Fette
Ricotta,0,g
Philadelphia,0,g
Uova sode,0,Unità
Edamer,0,g
Salame affettato,0,g
Bresaola affettata,0,g
Pomodoro,0,Unità
Rucola,0,Unità
Ceci lessi,0,g
Tabasco habanero,0,Cucchiaino
Pomodoro San Marzano,0,kg
Pomodori concentrato,0,Cucchiai
Pane cotto in forno a legna,0,Unità
Carote viola,0,g
Ceci già lessati,0,g
Mandorla a lamelle,0,Unità
Cumino semi,0,Unità
Bresaola,0,g
Songino,0,g
Farina semola di Senatore Cappelli,0,g
Birra rossa,0,ml
Ammoniaca per dolci,0,g
Semi misti,0,Unità
Malto,0,g
Prosciutto crudo,0,g
Fico freschi,0,g
Couscous,0,g
Zafferano in pistilli,0,Unità
Mandorle,0,g
Pistacchi,0,g
Prugne,0,g
Cipolla rossa di Tropea,0,Unità
Oliva kalamon,0,Manciata
Gamberetto rosa sgusciati,0,g
Ketchup,0,Cucchiai
Insalata a piacere,0,Unità
Zucchina piccola,0,Unità
Anacardo,0,g
Semi di papavero,0,Unità
Olive nere,0,ml
Cipolle rosse,0,Unità
Noci,0,Unità
Semi di sesamo,0,g
Curry,0,Cucchiaino
Coriandolo,0,Cucchiaino
Patate di media grandezza,0,Unità
Sale fino integrale,0,Unità
Pane,0,Fette
Alici filetti sottolio,0,Unità
Marmellata di arance,0,Cucchiai
Zenzero in polvere,0,Cucchiaino
Peperone verde,0,Unità
Riso rosso integrale,0,g
Rucola fresca,0,Mazzetto
Mozzarella ciliegiene,0,Unità
Pomodori ciliegieni,0,Unità
Sedano comprese le foglie,0,gambo
Aceto rosso,0,Cucchiai
Piselli già lessi,0,g
Timo fresco,0,Unità
Pane casereccio,0,Fette
Pesca noci,0,Unità
Cipolle rossa,0,g
Pomodoro Pachino,0,Unità
Riso Carnaroli,0,g
Zafferano due terzi,0,Unità
Caprino,0,g
Insalata gentile,0,Cespo
Carote baby,0,g
Melanzana piccola,0,Unità
Tarallo ai cereali o integrali,0,g
Pane casereccio raffermo,0,Fette
Peperone già arrostiti,0,g
Mazzancolla lessate o cotte al vapore,0,g
acciughe sottolio a filetti,0,Unità
Sesamo semi bianchi,0,Cucchiaio
Sesamo semi neri,0,Cucchiaio
Burro fuso,0,Unità
Melanzana medie lunghe,0,Unità
Ceci coti in scatola,0,g
Limone grande,0,Unità
Lattuga,0,Foglia
Carota a julienne,0,Unità
Ravanello,0,Unità
Radicchio,0,Foglia
Farina fecola,0,g
Salame romagnolo,0,Unità
Ghiaccio tritato,0,Unità
Soda,0,Bicchierino
Riso Arborio,0,kg
Patata,0,Unità
Peperone friggitello,0,Unità
Calamaro puliti,0,Unità
Speck,0,Fette
Pomodori polpa,0,g
Melanzana rotonda viola,0,Unità
Olive taggiasche denocciolate,0,g
Pancarrè integrale,0,Fette
Pomodori bucce essiccate,0,Manciata
